NBCC PGA values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-113.22,53.72,PGA,0.0015,0.0025,0.0036,0.0082,0.0159,0.0279,0.0452,0.0519,0.0804,0.1177,113,Fort Saskatchewan,AB
-116,58.4,PGA,0.0011,0.0018,0.0027,0.0056,0.0105,0.0177,0.028,0.0322,0.0516,0.0829,114,Fort Vermilion,AB
-118.8,55.17,PGA,0.0022,0.0037,0.0053,0.0126,0.024,0.0422,0.0684,0.0789,0.1245,0.1924,115,Grande Prairie,AB
-118.73,58.83,PGA,0.0013,0.0022,0.0033,0.007,0.0134,0.0223,0.0347,0.0395,0.0603,0.091,116,Habay,AB
-111.3,52.67,PGA,0.0015,0.0024,0.0035,0.0071,0.0132,0.0221,0.0347,0.0398,0.0614,0.091,117,Hardisty,AB
-113.87,50.58,PGA,0.0044,0.0066,0.0091,0.0191,0.0345,0.0578,0.0888,0.1009,0.1492,0.2135,118,High River,AB
-117.58,53.4,PGA,0.0046,0.0074,0.011,0.0243,0.0444,0.0744,0.1147,0.1305,0.1967,0.2882,119,Hinton,AB
-118.08,52.88,PGA,0.0051,0.0081,0.0118,0.0254,0.046,0.0761,0.116,0.1315,0.1957,0.2847,120,Jasper,AB
-117.62,57.75,PGA,0.0012,0.0021,0.0032,0.0069,0.0131,0.0218,0.0339,0.0386,0.0594,0.0901,121,Keg River,AB
-111.97,54.77,PGA,0.0012,0.0019,0.0029,0.0059,0.0111,0.0186,0.0295,0.0339,0.054,0.0841,122,Lac la Biche,AB
-113.73,52.47,PGA,0.0023,0.0036,0.0051,0.0119,0.0227,0.0403,0.0663,0.0769,0.1239,0.1934,123,Lacombe,AB
-112.82,49.7,PGA,0.0054,0.0076,0.0103,0.0187,0.0308,0.0494,0.0762,0.087,0.1342,0.2003,124,Lethbridge,AB
-117.62,56.92,PGA,0.0013,0.0023,0.0035,0.008,0.0155,0.0266,0.0422,0.0482,0.0737,0.1084,125,Manning,AB
-110.67,50.05,PGA,0.0021,0.0031,0.0042,0.0087,0.0159,0.0274,0.0439,0.0502,0.0761,0.1092,126,Medicine Hat,AB
-117.28,56.23,PGA,0.0015,0.0025,0.0037,0.0089,0.0175,0.0314,0.052,0.0605,0.0975,0.1528,127,Peace River,AB
-113.95,49.48,PGA,0.0091,0.013,0.017,0.0311,0.0507,0.0791,0.1171,0.1318,0.1938,0.2797,128,Pincher Creek,AB
-111.68,53.42,PGA,0.0015,0.0023,0.0034,0.0068,0.0126,0.0211,0.0333,0.0382,0.0593,0.0891,129,Ranfurly,AB
-113.8,52.27,PGA,0.0024,0.0039,0.0054,0.0126,0.0237,0.0414,0.0674,0.078,0.1248,0.1941,130,Red Deer,AB
-114.92,52.37,PGA,0.0035,0.0053,0.0077,0.017,0.0307,0.0511,0.0793,0.0902,0.1369,0.2033,131,Rocky Mountain House,AB
-114.77,55.28,PGA,0.0015,0.0024,0.0035,0.0076,0.0145,0.0247,0.0388,0.0444,0.0679,0.1001,132,Slave Lake,AB
-112.72,52.32,PGA,0.002,0.0032,0.0043,0.0098,0.0187,0.0339,0.0573,0.0671,0.112,0.1813,133,Stettler,AB
-114,53.53,PGA,0.0018,0.0031,0.0043,0.0101,0.0196,0.0359,0.061,0.0712,0.117,0.1866,134,Stony Plain,AB
-111.17,50.2,PGA,0.0023,0.0034,0.0045,0.0094,0.0175,0.0311,0.0518,0.0604,0.0982,0.1531,135,Suffield,AB
-112.15,49.78,PGA,0.004,0.0056,0.0074,0.0142,0.0245,0.0416,0.0679,0.0789,0.1279,0.197,136,Taber,AB
-114.28,50.67,PGA,0.0047,0.0071,0.0101,0.0218,0.0405,0.0689,0.1068,0.1213,0.1818,0.2638,137,Turner Valley,AB
-117.28,55.07,PGA,0.002,0.0034,0.0049,0.0116,0.0226,0.0402,0.0662,0.0768,0.1226,0.1906,138,Valleyview,AB
-112.05,53.5,PGA,0.0013,0.0022,0.0032,0.0069,0.0131,0.0222,0.035,0.0401,0.0619,0.092,139,Vegreville,AB
-110.85,53.37,PGA,0.0014,0.0022,0.0032,0.0063,0.0114,0.019,0.0301,0.0346,0.0548,0.0845,140,Vermilion,AB
-114.98,55.35,PGA,0.0015,0.0024,0.0035,0.0078,0.0148,0.0253,0.0399,0.0457,0.0698,0.1028,141,Wagner,AB
-110.87,52.82,PGA,0.0014,0.0023,0.0033,0.0065,0.012,0.0199,0.0314,0.0361,0.0565,0.0858,142,Wainwright,AB
-113.37,52.97,PGA,0.0018,0.003,0.0043,0.01,0.0195,0.0359,0.061,0.0713,0.1178,0.1876,143,Wetaskiwin,AB
-115.68,54.15,PGA,0.0023,0.0036,0.0051,0.0118,0.0225,0.0399,0.0657,0.0763,0.1218,0.1896,144,Whitecourt,AB
-113.58,51.87,PGA,0.0027,0.0041,0.0058,0.0129,0.024,0.0417,0.0677,0.0783,0.1255,0.1948,145,Wimborne,AB
-105.98,49.63,PGA,0.0013,0.0029,0.0048,0.0142,0.0286,0.0491,0.075,0.084,0.1193,0.1627,146,Assiniboia,SK
-108.33,50.55,PGA,0.0014,0.0024,0.0035,0.0072,0.0132,0.0214,0.0327,0.0371,0.0561,0.0826,147,Battrum,SK
-108,52.07,PGA,0.0013,0.0021,0.003,0.0059,0.0107,0.0176,0.0283,0.0327,0.0528,0.0811,148,Biggar,SK
-102.58,50.37,PGA,0.0012,0.0022,0.0035,0.0082,0.0156,0.0261,0.0399,0.0451,0.066,0.0933,149,Broadview,SK
-104.53,51.75,PGA,0.0013,0.0021,0.0032,0.0065,0.012,0.0198,0.031,0.0355,0.0552,0.0832,150,Dafoe,SK
-106.5,51.82,PGA,0.0013,0.0021,0.0031,0.0062,0.0115,0.0189,0.0296,0.0341,0.0538,0.0819,151,Dundurn,SK
-102.98,49.13,PGA,0.0011,0.0025,0.0042,0.0128,0.0262,0.0457,0.0704,0.0793,0.1136,0.1557,152,Estevan,SK
-102.38,52.85,PGA,0.001,0.0016,0.0024,0.0051,0.0096,0.0164,0.027,0.0316,0.0524,0.0825,153,Hudson Bay,SK
-105.12,52.2,PGA,0.0013,0.002,0.003,0.0059,0.0109,0.0181,0.0288,0.0333,0.0534,0.0821,154,Humboldt,SK
-102.35,55.53,PGA,0.0008,0.0013,0.0019,0.0044,0.0086,0.0157,0.0265,0.0311,0.0522,0.0827,155,Island Falls,SK
-101.9,51.57,PGA,0.0011,0.0018,0.0027,0.0057,0.0109,0.0182,0.0289,0.0334,0.0535,0.0828,156,Kamsack,SK
-109.17,51.47,PGA,0.0014,0.0022,0.0032,0.0064,0.0116,0.0191,0.0302,0.0348,0.0546,0.082,157,Kindersley,SK
-110,53.28,PGA,0.0013,0.0021,0.0031,0.0059,0.0107,0.0179,0.0287,0.0332,0.0533,0.0822,158,Lloydminster,SK
-109.48,49.92,PGA,0.0016,0.0026,0.0036,0.0076,0.0139,0.023,0.0356,0.0405,0.0609,0.0879,159,Maple Creek,SK
-108.43,54.13,PGA,0.0012,0.0019,0.0027,0.0053,0.0097,0.0166,0.0275,0.0322,0.053,0.0818,160,Meadow Lake,SK
-104.62,52.87,PGA,0.0012,0.0019,0.0027,0.0054,0.01,0.0168,0.0274,0.0319,0.0526,0.082,161,Melfort,SK
-102.8,50.92,PGA,0.0012,0.0022,0.0033,0.0072,0.0137,0.0228,0.0351,0.0399,0.0599,0.0871,162,Melville,SK
-105.53,50.4,PGA,0.0014,0.0027,0.0041,0.0106,0.02,0.0337,0.0509,0.0574,0.082,0.1123,163,Moose Jaw,SK
-104,53.37,PGA,0.0012,0.0018,0.0026,0.0052,0.0095,0.0163,0.027,0.0316,0.0524,0.0822,164,Nipawin,SK
-108.28,52.78,PGA,0.0013,0.002,0.0029,0.0056,0.0102,0.017,0.0278,0.0324,0.0528,0.0814,165,North Battleford,SK
-105.77,53.2,PGA,0.0012,0.0019,0.0027,0.0054,0.0098,0.0165,0.0272,0.0318,0.0525,0.0818,166,Prince Albert,SK
-103.88,50.55,PGA,0.0013,0.0025,0.0038,0.0096,0.0183,0.0309,0.0473,0.0533,0.0775,0.1072,167,Qu'Appelle,SK
-104.62,50.45,PGA,0.0014,0.0027,0.0041,0.0107,0.0207,0.0353,0.0541,0.0613,0.088,0.1213,168,Regina,SK
-108,51.55,PGA,0.0013,0.0022,0.0032,0.0062,0.0114,0.0186,0.0292,0.0337,0.0533,0.0812,169,Rosetown,SK
-106.63,52.12,PGA,0.0013,0.002,0.003,0.0059,0.0109,0.0179,0.0285,0.033,0.0531,0.0816,170,Saskatoon,SK
-108.83,52.37,PGA,0.0013,0.0021,0.003,0.0058,0.0106,0.0175,0.0282,0.0327,0.0527,0.0808,171,Scott,SK
-104.95,51.07,PGA,0.0014,0.0024,0.0036,0.008,0.0149,0.0248,0.0379,0.043,0.0633,0.0901,172,Strasbourg,SK
-107.8,50.28,PGA,0.0014,0.0025,0.0037,0.0079,0.0146,0.0237,0.0358,0.0404,0.0594,0.0852,173,Swift Current,SK
