NBCC Sa(0.3) second values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-104,53.37,0.3,0.0023,0.0037,0.0049,0.0104,0.0171,0.0265,0.0395,0.0446,0.0666,0.0973,164,Nipawin,SK
-108.28,52.78,0.3,0.0027,0.004,0.0053,0.011,0.0181,0.0279,0.0409,0.046,0.0673,0.0969,165,North Battleford,SK
-105.77,53.2,0.3,0.0025,0.0038,0.0051,0.0107,0.0175,0.027,0.0399,0.045,0.0667,0.0969,166,Prince Albert,SK
-103.88,50.55,0.3,0.0025,0.0044,0.0065,0.0153,0.0276,0.0449,0.0657,0.0731,0.1013,0.1354,167,Qu'Appelle,SK
-104.62,50.45,0.3,0.0027,0.0046,0.0069,0.0166,0.0305,0.0495,0.0732,0.0815,0.1131,0.1518,168,Regina,SK
-108,51.55,0.3,0.0029,0.0042,0.0058,0.012,0.0199,0.0306,0.044,0.049,0.0698,0.0982,169,Rosetown,SK
-106.63,52.12,0.3,0.0025,0.0039,0.0054,0.0115,0.0191,0.0294,0.0428,0.0478,0.0688,0.098,170,Saskatoon,SK
-108.83,52.37,0.3,0.0029,0.0042,0.0056,0.0114,0.0187,0.0287,0.0419,0.0469,0.068,0.0969,171,Scott,SK
-104.95,51.07,0.3,0.0027,0.0043,0.0062,0.0139,0.0241,0.038,0.055,0.0613,0.0847,0.1142,172,Strasbourg,SK
-107.8,50.28,0.3,0.0034,0.0049,0.0067,0.014,0.024,0.0372,0.053,0.0588,0.0806,0.1084,173,Swift Current,SK
-108.62,59.57,0.3,0.0013,0.0024,0.0036,0.0079,0.0146,0.0242,0.0377,0.043,0.0655,0.0963,174,Uranium City,SK
-103.85,49.67,0.3,0.0025,0.0047,0.0077,0.0211,0.0432,0.0772,0.1233,0.1416,0.2184,0.3288,175,Weyburn,SK
-102.47,51.22,0.3,0.0019,0.0035,0.005,0.0116,0.0204,0.0323,0.0471,0.0525,0.0745,0.1035,176,Yorkton,SK
-96.517,50.067,0.3,0.0011,0.0022,0.0035,0.0079,0.0151,0.0252,0.0394,0.0449,0.0679,0.0993,177,Beausejour,MB
-100.05,49.233,0.3,0.0014,0.0029,0.0042,0.0102,0.0182,0.0292,0.0434,0.0486,0.0704,0.1001,178,Boissevain,MB
-99.95,49.833,0.3,0.001,0.0019,0.0032,0.0072,0.014,0.0238,0.0375,0.0431,0.0661,0.0976,179,Brandon,MB
-94.12,58.75,0.3,0.0016,0.0029,0.004,0.0085,0.0152,0.0247,0.0379,0.0431,0.0658,0.0984,180,Churchill,MB
-100.05,51.15,0.3,0.0016,0.0031,0.0043,0.0099,0.0172,0.0272,0.0406,0.0457,0.0676,0.0982,181,Dauphin,MB
-101.88,54.77,0.3,0.0019,0.0032,0.0043,0.0092,0.0158,0.0252,0.0384,0.0436,0.0662,0.0977,182,Flin Flon,MB
-96.99,50.64,0.3,0.0012,0.0023,0.0035,0.008,0.015,0.025,0.0388,0.0443,0.0672,0.0988,183,Gimli,MB
-94.667,53.867,0.3,0.0016,0.0028,0.004,0.0086,0.0154,0.025,0.0384,0.0437,0.0665,0.0987,184,Island Lake,MB
